,title,gross_worldwide,movie_id,year
483,Battleship,"$303,025,485",1440129,2012
484,Liar Liar,"$302,710,615",0119528,1997
485,G.I. Joe: The Rise of Cobra,"$302,469,017",1046173,2009
486,Wrath of the Titans,"$301,970,083",1646987,2012
487,Fantastic 4: Rise of the Silver Surfer,"$301,913,131",0486576,2007
488,Hook,"$300,854,823",0102057,1991
489,Rocky IV,"$300,473,716",0089927,1985
490,Superman,"$300,451,667",0078346,1978
491,Rambo: First Blood Part II,"$300,400,432",0089880,1985
492,Resident Evil: Afterlife,"$300,228,084",1220634,2010
493,Van Helsing,"$300,157,638",5197820,2016
494,Stuart Little,"$300,135,367",0164912,1999
495,Beverly Hills Cop II,"$299,965,036",0092644,1987
496,Alice Through the Looking Glass,"$299,457,024",2567026,2016
497,My Best Friend's Wedding,"$299,288,605",0119738,1997
498,Real Steel,"$299,268,508",0433035,2011
499,Horton Hears a Who!,"$298,572,799",0451079,2008
500,Ocean's 8,"$297,718,711",5164214,2018
501,The Divergent Series: Insurgent,"$297,002,527",2908446,2015
502,Look Who's Talking,"$296,999,813",0097778,1989
503,Austin Powers in Goldmember,"$296,938,801",0295178,2002
504,Miss Peregrine's Home for Peculiar Children,"$296,482,446",1935859,2016
505,X-Men,"$296,339,528",0120903,2000
506,Ghostbusters,"$296,320,473",0087332,1984
507,Ferdinand,"$296,069,199",3411444,2017
508,Shutter Island,"$294,804,195",1130884,2010
509,Doctor Dolittle,"$294,456,605",0118998,1998
510,Bee Movie,"$293,514,336",0389790,2007
511,Salt,"$293,503,354",0944835,2010
512,G-Force,"$292,817,841",0436339,2009
513,The Departed,"$291,465,034",0407887,2006
514,What Lies Beneath,"$291,420,351",0161081,2000
515,Pacific Rim: Uprising,"$290,930,148",2557478,2018
516,The Bourne Supremacy,"$290,835,269",0372183,2004
517,Sex and the City 2,"$290,745,055",1261945,2010
518,Shakespeare in Love,"$289,317,794",0138097,1998
519,Divergent,"$288,885,818",1840309,2014
520,Coming to America,"$288,752,301",0094898,1988
521,Wedding Crashers,"$288,467,645",0396269,2005
522,Bridesmaids,"$288,383,523",1478338,2011
523,Maze Runner: The Death Cure,"$288,175,335",4500922,2018
524,Casper,"$287,928,194",0112642,1995
525,American Pie 2,"$287,553,595",0252866,2001
526,Pitch Perfect 2,"$287,144,079",2848292,2015
527,The Green Mile,"$286,801,374",0120689,1999
528,Oblivion,"$286,168,572",1483013,2013
529,Elysium,"$286,140,700",1535108,2013
530,Lethal Weapon 4,"$285,444,603",0122151,1998
531,John Carter,"$284,139,100",0401729,2012
532,Turbo,"$282,570,682",1860353,2013
533,Paddington,"$282,374,179",1109624,2014
534,Bridget Jones's Diary,"$281,929,795",0243155,2001
535,The Tourist,"$278,780,441",1243957,2010
536,Split,"$278,454,358",4972582,2016
537,Scary Movie,"$278,019,771",0117571,1996
538,xXx,"$277,448,382",0295701,2002
539,The Bourne Legacy,"$276,144,750",1194173,2012
540,Mr. Peabody & Sherman,"$275,698,039",0864835,2014
541,Scooby-Doo,"$275,650,703",3152592,2020
542,Lincoln,"$275,293,450",0443272,2012
543,Lara Croft: Tomb Raider,"$274,703,340",0146316,2001
544,Tomb Raider,"$274,650,803",1365519,2018
545,The Expendables,"$274,470,394",1320253,2010
546,Cloudy With a Chance of Meatballs 2,"$274,325,949",1985966,2013
547,The Little Mermaid,"$274,190,855",0097757,1989
548,The Nutty Professor,"$273,961,019",0117218,1996
549,Jerry Maguire,"$273,552,592",0116695,1996
550,Bad Boys II,"$273,339,556",0172156,2003
551,Lilo & Stitch,"$273,144,151",0275847,2002
552,The Silence of the Lambs,"$272,753,884",0102926,1991
553,Get Out,"$272,495,873",5052448,2017
554,Grown Ups,"$271,430,189",1375670,2010
555,Neighbors,"$270,665,134",2004420,2014
556,The Firm,"$270,248,367",0106918,1993
557,We're the Millers,"$269,994,119",1723121,2013
558,Gran Torino,"$269,958,228",1205489,2008
559,"10,000 BC","$269,784,201",0443649,2008
560,American Gangster,"$269,755,430",0765429,2007
561,Epic,"$268,426,634",0848537,2013
562,Exodus: Gods and Kings,"$268,175,631",1528100,2014
563,Bambi,"$267,447,150",0034492,1942
564,The Princess and the Frog,"$267,045,765",0780521,2009
565,Batman Returns,"$266,903,053",0103776,1992
566,Indecent Proposal,"$266,614,059",0107211,1993
567,Something's Gotta Give,"$265,328,738",0337741,2003
568,Bridget Jones: The Edge of Reason,"$265,126,918",0317198,2004
569,The Incredible Hulk,"$264,770,996",0800080,2008
570,Parasite,"$264,475,049",6751668,2019
571,Waterworld,"$264,218,220",0114898,1995
572,The Truman Show,"$264,118,201",0120382,1998
573,Charlie's Angels,"$264,105,545",5033998,2019
574,The Fifth Element,"$264,029,966",0119116,1997
575,Jumanji,"$262,821,940",2283362,2017
576,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"$262,552,893",0443453,2006
577,Robots,"$262,511,490",0358082,2005
578,Knight and Day,"$261,989,769",1013743,2010
579,Total Recall,"$261,317,921",0100802,1990
580,This Is It,"$261,183,588",1477715,2009
581,Terminator: Dark Fate,"$261,119,292",6450804,2019
582,The Lone Ranger,"$260,502,115",1210819,2013
583,Super 8,"$260,095,986",1650062,2011
584,Mojin: The Lost Legend,"$259,368,448",4276752,2015
585,Blade Runner 2049,"$259,239,658",1856101,2017
586,Charlie's Angels: Full Throttle,"$259,175,788",0305357,2003
587,Rush Hour 3,"$258,097,122",0293564,2007
588,The Full Monty,"$257,938,649",0119164,1997
589,Kung Fu Yoga,"$257,743,016",4217392,2017
590,Annabelle,"$257,047,661",3322940,2014
591,The Village,"$256,697,520",0368447,2004
592,Lost in Hong Kong,"$256,283,912",4242158,2015
593,Erin Brockovich,"$256,271,286",0195685,2000
594,Marley & Me,"$255,743,093",0822832,2008
595,Halloween,"$255,485,178",0077651,1978
596,Us,"$255,184,580",6857112,2019
597,Cliffhanger,"$255,000,211",0106582,1993
598,Baahubali 2: The Conclusion,"$254,158,390",4849438,2017
599,Babe,"$254,134,910",0112431,1995
600,Men in Black: International,"$253,890,701",2283336,2019
601,Wild Hogs,"$253,625,427",0486946,2007
602,High School Musical 3,"$252,909,177",0962726,2008
603,Hercules,"$252,712,101",0119282,1997
604,X-Men: Dark Phoenix,"$252,442,974",6565702,2019
605,True Grit,"$252,276,927",1403865,2010
606,Bean,"$251,212,670",0118689,1997
607,American Hustle,"$251,171,807",1800241,2013
608,Enemy of the State,"$250,849,789",0120660,1998
609,You've Got Mail,"$250,821,495",0128853,1998
610,Eragon,"$250,425,512",0449010,2006
611,Brother Bear,"$250,397,798",0328880,2003
612,The Mask of Zorro,"$250,288,523",0120746,1998
613,The Ring,"$249,348,933",0298130,2002
614,The Blair Witch Project,"$248,639,099",0185937,1999
615,Unbreakable,"$248,118,121",0217869,2000
616,Journey to the West: The Demons Strike Back,"$247,585,244",5273624,2017
617,Dumb and Dumber,"$247,275,374",0109686,1994
618,Glass,"$246,999,039",6823368,2019
619,Grown Ups 2,"$246,984,278",2191701,2013
620,The Peanuts Movie,"$246,233,113",2452042,2015
621,Back to the Future Part III,"$246,145,853",0099088,1990
622,The Godfather,"$246,120,974",0068646,1972
623,Rango,"$245,724,603",1192628,2011
624,Four Weddings and a Funeral,"$245,700,832",0109831,1994
625,Face/Off,"$245,676,146",0119094,1997
626,Teenage Mutant Ninja Turtles: Out of the Shadows,"$245,623,848",3949660,2016
627,Dark Shadows,"$245,527,149",1077368,2012
628,Hulk,"$245,285,165",0286716,2003
629,The Bravest,"$245,179,562",10218674,2019
630,Love Actually,"$244,931,766",0314331,2003
631,Pixels,"$244,874,809",2120120,2015
632,Hercules,"$244,819,862",0119282,1997
633,Rush Hour,"$244,721,064",0120812,1998
634,Journey to the Center of the Earth,"$244,232,688",0373051,2008
635,After Earth,"$243,611,982",1815862,2013
636,Dolittle,"$243,321,264",6673612,2020
637,A Few Good Men,"$243,240,178",0104257,1992
638,Cloudy with a Chance of Meatballs,"$243,006,126",0844471,2009
639,8 Mile,"$242,875,078",0298203,2002
640,Daddy's Home,"$242,786,137",1528854,2015
641,RoboCop,"$242,688,965",0093870,1987
642,Eraser,"$242,295,562",0116213,1996
643,Alien: Covenant,"$240,891,763",2316204,2017
644,Sully,"$240,797,623",3263904,2016
645,Assassin's Creed,"$240,697,856",2094766,2016
646,Click,"$240,685,326",0389860,2006
647,Die Hard 2,"$240,247,433",0099423,1990
648,Resident Evil: Retribution,"$240,159,255",1855325,2012
649,Crocodile Dundee II,"$239,606,210",0092493,1988
650,Planes,"$239,258,712",1691917,2013
651,Crazy Rich Asians,"$238,538,736",3104988,2018
652,Batman & Robin,"$238,235,915",0118688,1997
653,Gulliver's Travels,"$237,382,724",1320261,2010
654,Gone in 60 Seconds,"$237,202,299",0187078,2000
655,Saturday Night Fever,"$237,113,184",0076666,1977
656,Silver Linings Playbook,"$236,412,453",1045658,2012
657,2 Fast 2 Furious,"$236,350,661",0322259,2003
658,Howl's Moving Castle,"$236,212,992",0347149,2004
659,Hidden Figures,"$235,956,898",4846340,2016
660,A.I. Artificial Intelligence,"$235,926,552",0212720,2001
661,Dead Poets Society,"$235,860,116",0097165,1989
662,Spy,"$235,666,219",3079380,2015
663,American Pie,"$235,483,004",0163651,1999
664,American Reunion,"$234,989,584",1605630,2012
665,Big Daddy,"$234,801,895",0142342,1999
666,Alvin and the Chipmunks: The Road Chip,"$234,798,636",2974918,2015
667,The Imitation Game,"$233,555,708",2084970,2014
668,The Day the Earth Stood Still,"$233,093,859",0970416,2008
669,American Wedding,"$232,722,935",0328828,2003
670,The Girl with the Dragon Tattoo,"$232,617,430",1568346,2011
671,Juno,"$232,372,681",0467406,2007
672,Argo,"$232,325,503",1024648,2012
673,Mr. Bean's Holiday,"$232,225,908",0453451,2007
674,The English Patient,"$231,976,425",0116209,1996
675,Sister Act,"$231,605,150",0105417,1992
676,Annabelle Comes Home,"$231,252,591",8350360,2019
677,Constantine,"$230,884,728",0360486,2005
678,Get Smart,"$230,685,453",0425061,2008
679,Space Jam,"$230,418,342",0117705,1996
680,Life Is Beautiful,"$230,098,753",0118799,1997
681,The Heat,"$229,930,771",2404463,2013
682,Ghostbusters,"$229,147,509",0087332,1984
683,Ghost Rider,"$228,738,393",0259324,2007
684,Goodbye Mr. Loser,"$228,122,928",5061814,2015
685,Paddington 2,"$227,978,645",4468740,2017
686,Sleepless in Seattle,"$227,927,165",0108160,1993
687,Lethal Weapon 2,"$227,853,986",0097733,1989
688,The Green Hornet,"$227,817,248",0990407,2011
689,Out of Africa,"$227,542,205",0089755,1985
690,Youth,"$227,091,290",3312830,2015
691,Baby Driver,"$226,945,087",3890160,2017
692,Immortals,"$226,904,017",1253864,2011
693,Taken,"$226,837,760",0936501,2008
694,Percy Jackson & the Olympians: The Lightning Thief,"$226,497,209",0814255,2010
695,Hansel & Gretel: Witch Hunters,"$226,349,749",1428538,2013
696,Good Will Hunting,"$225,933,435",0119217,1997
697,Valerian and the City of a Thousand Planets,"$225,874,228",2239822,2017
698,Better Days,"$225,744,502",9586294,2019
699,Ford v Ferrari,"$225,508,210",1950186,2019
700,Jumper,"$225,132,113",0489099,2008
701,The Social Network,"$224,920,315",1285016,2010
702,Chicken Run,"$224,834,564",0120630,2000
703,Con Air,"$224,012,234",0118880,1997
704,Interview with the Vampire: The Vampire Chronicles,"$223,664,608",0110148,1994
705,Flightplan,"$223,387,299",0408790,2005
706,Yes Man,"$223,241,637",1068680,2008
707,Pulp Fiction,"$222,831,817",0110912,1994
708,Non-Stop,"$222,809,600",2024469,2014
709,"Honey, I Shrunk the Kids","$222,724,172",0097523,1989
710,Fahrenheit 9/11,"$222,446,882",0361596,2004
711,Wild Wild West,"$222,104,681",0120891,1999
712,Elf,"$221,671,773",0319343,2003
713,Geostorm,"$221,600,160",1981128,2017
714,Presumed Innocent,"$221,303,188",0100404,1990
715,Collateral,"$220,926,695",0369339,2004
716,Scary Movie 3,"$220,673,217",0306047,2003
717,Inferno,"$220,021,259",3062096,2016
718,Knocked Up,"$219,922,417",0478311,2007
719,Green Lantern,"$219,851,172",1133985,2011
720,What Happens in Vegas,"$219,375,562",1033643,2008
721,It's Complicated,"$219,103,655",1230414,2009
722,The Terminal,"$219,100,084",0362227,2004
723,Captain Phillips,"$218,791,811",1535109,2013
724,The Prince of Egypt,"$218,613,188",0120794,1998
725,Jack Reacher,"$218,340,595",0790724,2012
726,Kingdom of Heaven,"$218,122,627",0320661,2005
727,Dirty Dancing,"$217,808,118",0092890,1987
728,The Emoji Movie,"$217,776,646",4877122,2017
729,Dracula Untold,"$217,124,280",0829150,2014
730,Central Intelligence,"$216,972,543",1489889,2016
731,Million Dollar Baby,"$216,763,646",0405159,2004
732,The Help,"$216,639,112",1454029,2011
733,Twins,"$216,614,388",0096320,1988
734,Valentine's Day,"$216,485,654",0817230,2010
735,Bad Teacher,"$216,197,492",1284575,2011
736,One Hundred and One Dalmatians,"$216,026,182",0055254,1961
737,Clear and Present Danger,"$215,887,717",0109444,1994
738,Ted 2,"$215,863,606",2637276,2015
739,Bram Stoker's Dracula,"$215,862,692",0103874,1992
740,Vertical Limit,"$215,663,859",0190865,2000
741,Ghostbusters II,"$215,394,738",0097428,1989
742,The Patriot,"$215,294,342",0187393,2000
743,The Sorcerer's Apprentice,"$215,283,742",0963966,2010
744,Just Go with It,"$214,945,591",1564367,2011
745,The Expendables 3,"$214,657,577",2333784,2014
746,The Fast and the Furious,"$214,463,726",0232500,2001
747,Creed II,"$214,215,889",6343314,2018
748,Public Enemies,"$214,104,620",1152836,2009
749,Smallfoot,"$214,040,103",6182908,2018
750,The Bourne Identity,"$214,034,224",0258463,2002
751,Disclosure,"$214,015,089",0109635,1994
752,The Aviator,"$213,719,942",0338751,2004
753,"Crouching Tiger, Hidden Dragon","$213,525,736",0190332,2000
754,Braveheart,"$213,216,216",0112573,1995
755,Into the Woods,"$212,902,372",0083907,1981
756,Bedtime Stories,"$212,874,864",0960731,2008
757,Miss Congeniality,"$212,742,720",0212346,2000
758,Entrapment,"$212,404,396",0137494,1999
759,Ace Ventura: When Nature Calls,"$212,385,533",0112281,1995
760,End of Days,"$211,989,043",0146675,1999
761,Bridget Jones's Baby,"$211,952,420",1473832,2016
762,Battle Los Angeles,"$211,819,354",1217613,2011
763,Fury,"$211,817,906",2713180,2014
764,Australia,"$211,787,511",0455824,2008
765,Due Date,"$211,780,824",1231583,2010
766,Master and Commander: The Far Side of the World,"$211,622,535",0311113,2003
767,Lemony Snicket's A Series of Unfortunate Events,"$211,468,235",4834206,2017
768,District 9,"$210,888,950",1136608,2009
769,The Jungle Book,"$210,310,084",3040964,2016
770,Moonraker,"$210,308,099",0079574,1979
771,The Others,"$209,947,037",0230600,2001
772,Horrible Bosses,"$209,838,559",1499658,2011
773,Red Dragon,"$209,196,298",0289765,2002
774,Little Women,"$209,101,214",3281548,2019
775,Tomorrowland,"$209,035,668",1964418,2015
776,Me Before You,"$208,314,186",2674426,2016
777,Safe House,"$208,076,205",1599348,2012
778,S.W.A.T.,"$207,725,639",6111130,2017
779,Traffic,"$207,515,725",0181865,2000
780,Paranormal Activity 3,"$207,039,844",1778304,2011
781,Philadelphia,"$206,678,440",0472954,2005
782,Sleepy Hollow,"$206,071,502",0162661,1999
783,The Holiday,"$205,841,885",0457939,2006
784,London Has Fallen,"$205,754,447",3300542,2016
785,A Dog's Purpose,"$205,736,628",1753383,2017
786,The Break-Up,"$205,668,210",0452594,2006
787,Journey to the West,"$205,637,183",2017561,2013
788,JFK,"$205,405,498",0102138,1991
789,White House Down,"$205,366,737",2334879,2013
790,Fun with Dick and Jane,"$204,681,899",0369441,2005
791,Eat Pray Love,"$204,594,016",0879870,2010
792,You Don't Mess with the Zohan,"$204,313,400",0960144,2008
793,King Arthur,"$203,567,857",1972591,2017
794,Hairspray,"$203,552,922",0427327,2007
795,Yogi Bear,"$203,509,374",1302067,2010
796,Everest,"$203,427,584",6324278,2019
797,Vanilla Sky,"$203,388,341",0259711,2001
798,Arrival,"$203,388,186",2543164,2016
799,Need for Speed,"$203,277,636",2369135,2014
800,Ponyo,"$203,204,882",0876563,2008
801,Garfield,"$203,172,417",0356634,2004
802,The Addams Family,"$203,044,905",0101272,1991
803,Patch Adams,"$202,292,902",0129290,1998
804,Teenage Mutant Ninja Turtles,"$201,965,915",0100758,1990
805,Kindergarten Cop,"$201,957,688",0099938,1990
806,Harley Quinn: Birds of Prey,"$201,858,461",7713068,2020
807,Straight Outta Compton,"$201,634,991",1398426,2015
808,21 Jump Street,"$201,585,328",1232829,2012
809,Valkyrie,"$201,545,517",0985699,2008
810,Open Season,"$200,811,689",0400717,2006
811,Cats & Dogs,"$200,687,492",0239395,2001
812,The Hunt for Red October,"$200,512,643",0099810,1990
813,Percy Jackson: Sea of Monsters,"$199,850,315",1854564,2013
814,Two Weeks Notice,"$199,043,242",0313737,2002
815,RED,"$199,006,387",1245526,2010
816,City of Angels,"$198,685,114",0120632,1998
817,The Pacifier,"$198,636,868",0395699,2005
818,50 First Dates,"$198,520,934",0343660,2004
819,Total Recall,"$198,467,168",0100802,1990
820,The Island,"$198,326,350",0399201,2005
821,The Impossible,"$198,087,212",1649419,2012
822,Lost in Thailand,"$197,757,387",2459022,2012
823,Christopher Robin,"$197,744,377",4575576,2018
824,Jack the Giant Slayer,"$197,687,603",1351685,2013
825,Smurfs: The Lost Village,"$197,183,546",2398241,2017
826,Spy Kids 3-D: Game Over,"$197,101,678",0338459,2003
827,Panic Room,"$197,079,546",0258000,2002
828,The Other Woman,"$196,710,396",2203939,2014
829,Stargate,"$196,567,262",0118480,1997
830,Beowulf,"$196,393,745",0442933,2007
831,The Vow,"$196,114,570",1606389,2012
832,Anger Management,"$195,745,823",1986770,2012
833,Tropic Thunder,"$195,702,811",0942385,2008
834,The Shape of Water,"$195,333,312",5580390,2017
835,The Pelican Brief,"$195,268,056",0107798,1993
836,The BFG,"$195,243,411",3691740,2016
837,Rocketman,"$195,179,299",2066051,2019
838,The Intern,"$194,564,672",2361509,2015
839,Downton Abbey,"$194,273,763",1606375,2010
840,Wallace & Gromit: The Curse of the Were-Rabbit,"$194,111,171",0312004,2005
841,Gnomeo & Juliet,"$193,967,670",0377981,2011
842,The Sum of All Fears,"$193,921,372",0164184,2002
843,Gangs of New York,"$193,772,504",0217505,2002
844,The Monkey King 2,"$193,678,298",4591310,2016
845,Paranormal Activity,"$193,355,800",1179904,2007
846,Weathering with You,"$193,176,979",9426210,2019
847,The Post,"$192,938,646",6294822,2017
848,The Equalizer,"$192,330,738",0455944,2014
849,The LEGO Movie 2: The Second Part,"$192,306,508",3513498,2019
850,The Addams Family,"$191,502,426",0101272,1991
851,The Longest Yard,"$191,466,556",0398165,2005
852,Cheaper by the Dozen,"$190,538,630",0349205,2003
853,The Equalizer 2,"$190,400,157",3766354,2018
854,Hollow Man,"$190,213,455",0164052,2000
855,Outbreak,"$189,859,560",0114069,1995
856,The Santa Clause,"$189,833,357",0111070,1994
857,The White Storm 2: Drug Lords,"$189,396,380",8239806,2019
858,The X Files,"$189,176,423",0106179,1993
859,Breakup Buddies,"$189,017,596",3890264,2014
860,Rambo III,"$189,015,611",0095956,1988
861,The Secret Life of Walter Mitty,"$188,133,322",0359950,2013
862,Jaws 2,"$187,884,007",0077766,1978
863,12 Years a Slave,"$187,733,202",2024544,2013
864,Heat,"$187,436,818",0113277,1995
865,Mr. Popper's Penguins,"$187,361,754",1396218,2011
866,The Grudge,"$187,281,115",3612126,2020
867,I Now Pronounce You Chuck & Larry,"$187,134,117",0762107,2007
868,The Horse Whisperer,"$186,883,563",0119314,1998
869,Walk the Line,"$186,797,986",0358273,2005
870,The Jungle Book 2,"$186,303,759",0283426,2003
871,The Final Destination,"$186,167,139",1144884,2009
872,Atlantis: The Lost Empire,"$186,053,725",0230011,2001
873,Inside Man,"$186,003,591",0454848,2006
874,The Waterboy,"$185,991,646",0120484,1998
875,Hugo,"$185,770,160",0970179,2011
876,Pitch Perfect 3,"$185,400,345",4765284,2017
877,Watchmen,"$185,382,813",7049682,2019
878,The Birdcage,"$185,260,553",0115685,1996
879,Moulin Rouge!,"$184,935,030",0203009,2001
880,Snow White and the Seven Dwarfs,"$184,925,486",0029583,1937
881,Hop,"$183,953,723",1411704,2011
882,Bad Moms,"$183,936,074",4651520,2016
883,Jupiter Ascending,"$183,887,723",1617661,2015
884,Knowing,"$183,658,498",0448011,2009
885,102 Dalmatians,"$183,611,771",0211181,2000
886,Storks,"$183,388,953",4624424,2016
887,Paul Blart: Mall Cop,"$183,348,429",1114740,2009
888,Wayne's World,"$183,097,323",0105793,1992
889,Maverick,"$183,031,272",0050037,1957
890,Mirror Mirror,"$183,018,522",1667353,2012
891,The Man in the Iron Mask,"$182,968,902",0120744,1998
892,Cape Fear,"$182,291,969",0101540,1991
893,The Haunted Mansion,"$182,290,266",0338094,2003
894,While You Were Sleeping,"$182,057,016",0114924,1995
895,The Bridges of Madison County,"$182,016,617",0112579,1995
896,Abominable,"$181,705,838",6324278,2019
897,Poseidon,"$181,674,817",0409182,2006
898,The First Wives Club,"$181,489,203",0116313,1996
899,Scooby-Doo 2: Monsters Unleashed,"$181,216,833",0331632,2004
900,Hot Shots!,"$181,096,164",0102059,1991
901,Road to Perdition,"$181,001,478",0257044,2002
902,Kill Bill: Vol. 1,"$180,899,045",0266697,2003
903,The Scorpion King,"$180,630,907",0277296,2002
904,Sweet Home Alabama,"$180,622,424",0256415,2002
905,Daddy's Home 2,"$180,613,180",5657846,2017
906,Deja Vu,"$180,557,550",0453467,2006
907,Hacksaw Ridge,"$180,450,918",2119532,2016
908,Dangerous Minds,"$179,519,401",0112792,1995
909,The Dictator,"$179,379,533",1645170,2012
910,The League of Extraordinary Gentlemen,"$179,265,204",0311429,2003
911,Allegiant,"$179,246,868",3410834,2016
912,Daredevil,"$179,179,718",3322312,2015
913,City Slickers,"$179,033,791",0101587,1991
914,He's Just Not That Into You,"$178,866,158",1001508,2009
915,Eagle Eye,"$178,767,383",1059786,2008
916,Along Came Polly,"$178,311,729",0343135,2004
917,Flushed Away,"$178,281,554",0424095,2006
918,Scary Movie 4,"$178,262,620",0362120,2006
919,Dante's Peak,"$178,127,760",0118928,1997
920,Brokeback Mountain,"$178,062,759",0388795,2005
921,Patriot Games,"$178,051,587",0105112,1992
922,Flubber,"$177,977,226",0119137,1997
923,Baywatch,"$177,856,751",0096542,1989
924,Double Jeopardy,"$177,841,558",0150377,1999
925,War Horse,"$177,584,879",1568911,2011
926,Paranormal Activity 2,"$177,512,032",1536044,2010
927,How to Lose a Guy in 10 Days,"$177,502,387",0251127,2003
928,Alien vs. Predator,"$177,427,090",0370263,2004
929,Hero,"$177,395,557",0299977,2002
930,The 40-Year-Old Virgin,"$177,378,645",0405422,2005
931,Lee Daniels' The Butler,"$177,313,795",1327773,2013
932,The Haunting,"$177,311,151",0171363,1999
933,The Descendants,"$177,243,185",1033575,2011
934,The A-Team,"$177,238,796",0429493,2010
935,Tootsie,"$177,200,000",0084805,1982
936,In the Line of Fire,"$176,997,168",0107206,1993
937,Analyze This,"$176,885,658",0122933,1999
938,The Hitman's Bodyguard,"$176,596,851",1959563,2017
939,Looper,"$176,506,819",1276104,2012
940,Ip Man 4: The Finale,"$176,405,343",2076298,2019
941,Dr. Dolittle 2,"$176,104,344",0240462,2001
942,The Italian Job,"$176,070,171",0317740,2003
943,The Bucket List,"$175,372,502",0825232,2007
944,Sleeping with the Enemy,"$174,999,005",0102945,1991
945,Cowboys & Aliens,"$174,822,325",0409847,2011
946,The Mule,"$174,804,407",7959026,2018
947,George of the Jungle,"$174,463,257",0119190,1997
948,Evan Almighty,"$174,440,724",0413099,2007
949,Identity Thief,"$173,965,010",2024432,2013
950,The Nutcracker and the Four Realms,"$173,961,069",5523010,2018
951,Big Momma's House,"$173,959,438",0208003,2000
952,In Time,"$173,930,596",1637688,2011
953,Amélie,"$173,924,742",0211915,2001
954,Operation Mekong,"$173,839,072",6044910,2016
955,Anchorman 2: The Legend Continues,"$173,649,931",1229340,2013
956,Creed,"$173,567,581",3076658,2015
957,Gemini Man,"$173,469,516",1025100,2019
958,The Girl on the Train,"$173,185,859",3631112,2016
959,Scream,"$173,046,663",0117571,1996
960,Cold Mountain,"$173,013,509",0159365,2003
961,Black Hawk Down,"$172,989,651",0265086,2001
962,The Grand Budapest Hotel,"$172,940,046",2278388,2014
963,The Santa Clause 2,"$172,855,065",0304669,2002
964,Cloverfield,"$172,394,180",1060277,2008
965,Scream 2,"$172,363,301",0120082,1997
966,Couples Retreat,"$171,844,840",1078940,2009
967,Antz,"$171,757,863",0120587,1998
968,Blood Diamond,"$171,720,398",0450259,2006
969,Jackass 3D,"$171,685,792",1116184,2010
970,No Country for Old Men,"$171,627,166",0477348,2007
971,Spies in Disguise,"$171,616,764",5814534,2019
972,John Wick: Chapter 2,"$171,539,887",4425200,2017
973,Cocktail,"$171,504,781",0094889,1988
974,Mr. Deeds,"$171,269,535",0280590,2002
975,Contact,"$171,120,329",2543164,2016
976,Superbad,"$170,812,526",0829482,2007
977,The Other Guys,"$170,458,922",1386588,2010
978,The Specialist,"$170,362,582",0111255,1994
979,Olympus Has Fallen,"$170,270,201",2302755,2013
980,Starsky & Hutch,"$170,268,750",0072567,1975
981,Shall We Dance,"$170,128,460",0358135,2004
982,Stuart Little 2,"$169,956,806",0243585,2002
983,Zookeeper,"$169,852,759",1222817,2011
984,Dumb and Dumber To,"$169,837,010",2096672,2014
985,Ghost in the Shell,"$169,801,921",1219827,2017
986,Princess Mononoke,"$169,785,629",0119698,1997
987,Seven Pounds,"$169,748,929",0814314,2008
988,Meet the Robinsons,"$169,333,034",0396555,2007
989,The Emperor's New Groove,"$169,327,687",0120917,2000
990,12 Monkeys,"$168,839,459",0114746,1995
991,Dodgeball,"$168,423,227",0364725,2004
992,Hellboy II: The Golden Army,"$168,319,243",0411477,2008
993,Insidious: The Last Key,"$167,885,588",5726086,2018
994,Fantastic Four,"$167,882,881",1502712,2015
995,Unstoppable,"$167,805,466",0477080,2010
996,Three Men and a Baby,"$167,780,960",0094137,1987
997,Magic Mike,"$167,739,368",1915581,2012
998,Alexander,"$167,298,192",0346491,2004
999,Up in the Air,"$166,842,739",1193138,2009
